sample_id,uname,date,time,test,result,unit,confidence_score,galaxy_version,model_version,local_hsi_link,s3_hsi_link,s3_model_path,response_time,customer_name
2985,imagoai_aoac,2023-12-08,11:38:39,aflatoxin,10.12,PPB,NA,4.4.0,v1.3,D:\Test\2985\13.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/AFLA/galaxy_model.gz,14,NULL
2985,imagoai_aoac,2023-12-08,11:38:39,fumonisin,7812.34,PPB,NA,4.4.0,v1.3,D:\Test\2985\13.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/FUM/galaxy_model.gz,14,NULL
2985,imagoai_aoac,2023-12-08,11:38:39,vomitoxin,200.12,PPB,NA,4.4.0,v1.3,D:\Test\2985\13.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,14,NULL
2985,imagoai_aoac,2023-12-08,11:38:39,zearalenone,110.23,PPB,NA,4.4.0,v1.3,D:\Test\2985\13.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,14,NULL
313,imagoai_dev,2024-02-28,09:35:45,aflatoxin,4.99,PPB,NA,4.6.0,Pipeline-10,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\313\313.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.10/galaxy_deploy.gz,63,NULL
3201,imagoai_aoac,2023-12-08,11:53:58,aflatoxin,4.1,PPB,NA,4.4.0,v1.3,D:\Test\3201\6.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/AFLA/galaxy_model.gz,15,NULL
3201,imagoai_aoac,2023-12-08,11:53:58,fumonisin,1023.9,PPB,NA,4.4.0,v1.3,D:\Test\3201\6.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/FUM/galaxy_model.gz,15,NULL
3201,imagoai_aoac,2023-12-08,11:53:58,vomitoxin,340.45,PPB,NA,4.4.0,v1.3,D:\Test\3201\6.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,15,NULL
3201,imagoai_aoac,2023-12-08,11:53:58,zearalenone,250.89,PPB,NA,4.4.0,v1.3,D:\Test\3201\6.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,15,NULL
3210557-test-20,imagoai_dev,2024-02-28,10:05:55,aflatoxin,4.71,PPB,NA,4.6.0,Pipeline-10,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\3210557-test-20\3210557-test-20.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.10/galaxy_deploy.gz,48,NULL
3210557-test1-20,imagoai_dev,2024-02-28,10:30:09,aflatoxin,18.18,PPB,NA,4.6.0,v2.62,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\3210557-test1-20\3210557-test1-20.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.10/galaxy_deploy.gz,38,NULL
3210557-test1-20-ldark,imagoai_dev,2024-02-28,11:19:09,aflatoxin,19.71,PPB,NA,4.6.0,v2.62,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\3210557-test1-20-ldark\3210557-test1-20-ldark.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.10/galaxy_deploy.gz,45,NULL
339,imagoai_dev,2024-02-28,12:01:58,aflatoxin,4.18,PPB,NA,4.6.0,Pipeline-11,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\339\339.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.11/galaxy_deploy.gz,29,NULL
3395,imagoai_aoac,2023-12-08,11:57:54,aflatoxin,0.79,PPB,NA,4.4.0,v1.3,D:\Test\3395\28.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/AFLA/galaxy_model.gz,15,NULL
3395,imagoai_aoac,2023-12-08,11:57:54,fumonisin,0.25,PPB,NA,4.4.0,v1.3,D:\Test\3395\28.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/FUM/galaxy_model.gz,15,NULL
3395,imagoai_aoac,2023-12-08,11:57:54,vomitoxin,7921.01,PPB,NA,4.4.0,v1.3,D:\Test\3395\28.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/DON/galaxy_model.gz,15,NULL
3395,imagoai_aoac,2023-12-08,11:57:54,zearalenone,0.21,PPB,NA,4.4.0,v1.3,D:\Test\3395\28.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FX10E/ZEA/galaxy_model.gz,15,NULL
340-04-01,imagoai_icp,2024-06-06,10:30:46,aflatoxin,1,PPB,NA,4.6.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\340-04-01\340-04-01.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,4,NULL
340-04-01,imagoai_icp,2024-06-06,10:30:46,fumonisin,0.59,PPM,NA,4.6.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\340-04-01\340-04-01.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,4,NULL
